country,name,continent,region
AFG,Afghanistan,Asia,South Asia
ALB,Albania,Europe,South East Europe
DZA,Algeria,Africa,Northern Africa
AND,Andorra,Europe,South West Europe
AGO,Angola,Africa,Southern Africa
AIA,Anguilla,Americas,West Indies
ATG,Antigua and Barbuda,Americas,West Indies
ARG,Argentina,Americas,South America
ARM,Armenia,Asia,South West Asia
ABW,Aruba,Americas,West Indies
AUS,Australia,Oceania,Pacific
AUT,Austria,Europe,Central Europe
AZE,Azerbaijan,Asia,South West Asia
BHS,Bahamas,Americas,West Indies
BHR,Bahrain,Asia,South West Asia
BGD,Bangladesh,Asia,South Asia
BRB,Barbados,Americas,West Indies
BLR,Belarus,Europe,Eastern Europe
BEL,Belgium,Europe,Western Europe
BLZ,Belize,Americas,Central America
BEN,Benin,Africa,Western Africa
BMU,Bermuda,Americas,West Indies
BTN,Bhutan,Asia,South Asia
BOL,Bolivia,Americas,South America
BIH,Bosnia and Herzegovina,Europe,South East Europe
BWA,Botswana,Africa,Southern Africa
BRA,Brazil,Americas,South America
VGB,British Virgin Islands,Americas,West Indies
BRN,Brunei,Asia,South East Asia
BGR,Bulgaria,Europe,South East Europe
BFA,Burkina Faso,Africa,Western Africa
BDI,Burundi,Africa,Central Africa
KHM,Cambodia,Asia,South East Asia
CMR,Cameroon,Africa,Western Africa
CAN,Canada,Americas,North America
CPV,Cape Verde,Africa,Western Africa
CYM,Cayman Islands,Americas,West Indies
CAF,Central African Republic,Africa,Central Africa
TCD,Chad,Africa,Central Africa
CHL,Chile,Americas,South America
CHN,China,Asia,East Asia
COL,Colombia,Americas,South America
COM,Comoros,Africa,Indian Ocean
COG,Congo,Africa,Central Africa
CRI,Costa Rica,Americas,Central America
